,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
22676,ccc54161e60e048521314ac09c539aa49638bae4,5.0,1.0,3.0,3.0,1.0,1.0,1996,6,14,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
22958,cf29215b1b81a85c2270a68f04d34911df75d4a4,5.0,1.0,3.0,3.0,1.0,1.0,1991,3,4,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
23264,07493b4e4162981b2c26f8ec9903a52bc304eedf,5.0,1.0,1.0,3.0,1.0,1.0,1994,6,1,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
23265,4d466bfa83a71e0c4ce984f8649ffa699d0f90a7,1.0,4.0,1.0,3.0,1.0,1.0,1997,8,15,42.0,2015-01-01,,,0.0,0.0,Serviços
23325,b2cf97c760139e5f36fefc04262c3a334eee52f1,5.0,1.0,3.0,3.0,1.0,0.0,1993,9,25,42.0,2014-01-07,1.0,0.0,1.0,0.0,Serviços
23521,4f68e8b3822e8029891a6cb2ef509c85a747a221,5.0,2.0,1.0,3.0,1.0,1.0,1989,6,25,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
23951,2503dc868a838ea3f975bf1ccb2bceee929e868b,1.0,4.0,1.0,3.0,1.0,1.0,1976,4,28,43.0,2013-01-01,,,0.0,0.0,Serviços
23985,538a5344970383f08329d7121f0f79d7ed2fd079,5.0,1.0,3.0,3.0,1.0,0.0,1967,9,24,21.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
24047,1b6942d0726f80fe33b9d8800126a2bacbe4d1d9,1.0,4.0,1.0,3.0,1.0,1.0,1998,9,23,42.0,2016-01-01,,,1.0,0.0,Serviços
24148,0338da255b1a03bf2001f4920827c58ce093bb82,4.0,3.0,3.0,3.0,1.0,1.0,1994,3,15,42.0,2013-01-01,0.0,0.0,1.0,0.0,Serviços
24209,405ef5d1121c7fb033d7632e7500ab16347fb86f,1.0,4.0,1.0,3.0,1.0,3.0,1967,3,26,42.0,2013-01-01,,,1.0,0.0,Serviços
24342,37518c661bd18abb809cf2d035faf49372e53d2c,1.0,4.0,1.0,3.0,1.0,1.0,1995,9,3,43.0,2015-01-01,,,1.0,0.0,Serviços
25076,190c6903e06664c9acbbf013a67a32672d5088fc,5.0,1.0,3.0,3.0,1.0,0.0,1990,8,9,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
